,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,13 4 +9,8 13 -5,12 4 +8,13 4 +9,8 12 -4
JonahP G2,14 3 +11,15 6 +9,7 8 -1,11 10 +1,11 9 +2
jawgemo G2,5 5 +0,12 9 +3,3 8 -5,6 9 -3,11 9 +2
trent G2,8 4 +4,9 13 -4,9 0 +9,9 4 +5,10 8 +2
BABYBAY G2,7 2 +5,4 10 -6,14 3 +11,6 13 -7,4 11 -7
