,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,,0 1 -1,,,
JonahP G2,,0 2 -2,,,
jawgemo G2,,2 4 -2,,1 0 +1,1 0 +1
trent G2,,0 3 -3,,,
BABYBAY G2,,0 1 -1,4 0 +4,1 0 +1,2 0 +2
