,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,5 4 +1,2 7 -5,3 1 +2,7 3 +4,6 2 +4
JonahP G2,7 0 +7,7 3 +4,3 2 +1,3 6 -3,3 4 -1
jawgemo G2,3 1 +2,6 4 +2,1 5 -4,1 7 -6,2 3 -1
trent G2,2 2 +0,2 8 -6,4 0 +4,4 1 +3,3 3 +0
BABYBAY G2,1 1 +0,1 7 -6,6 1 +5,2 4 -2,1 6 -5
