,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,0 3 -3,1 7 -6,0 0,3 3 +0,2 3 -1
Askia 2G,2 3 -1,3 4 -1,2 1 +1,5 4 +1,3 3 +0
silentzz 2G,2 2 +0,4 2 +2,1 4 -3,3 6 -3,3 3 +0
lz 2G,4 0 +4,5 4 +1,3 3 +0,1 1 +0,4 6 -2
PxS 2G,1 3 -2,3 6 -3,2 3 -1,0 4 -4,1 1 +0
