,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,0 3 -3,4 4 +0,3 3 +0,3 0 +3,3 1 +2
Askia 2G,3 2 +1,2 5 -3,2 1 +1,2 3 -1,3 0 +3
silentzz 2G,2 5 -3,3 2 +1,1 1 +0,1 2 -1,4 1 +3
lz 2G,3 1 +2,6 2 +4,2 0 +2,7 2 +5,3 4 -1
PxS 2G,3 0 +3,0 1 -1,3 1 +2,4 4 +0,0 4 -4
