,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,,0 2 -2,0 0,1 1 +0,0 1 -1
Askia 2G,1 0 +1,1 1 +0,,,0 1 -1
silentzz 2G,,,,,
lz 2G,1 0 +1,0 3 -3,1 1 +0,1 1 +0,
PxS 2G,,0 2 -2,,,
