,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,,0 1 -1,0 1 -1,,
Askia 2G,,1 2 -1,1 3 -2,,1 0 +1
silentzz 2G,,0 1 -1,0 1 -1,,
lz 2G,,,,,
PxS 2G,,0 1 -1,,1 0 +1,
