,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,1 8 -7,9 15 -6,5 5 +0,7 7 +0,7 8 -1
Askia 2G,7 5 +2,6 11 -5,5 6 -1,8 9 -1,7 8 -1
silentzz 2G,7 11 -4,9 6 +3,5 7 -2,8 14 -6,9 6 +3
lz 2G,10 5 +5,14 7 +7,6 6 +0,12 6 +6,9 16 -7
PxS 2G,7 9 -2,5 9 -4,9 6 +3,7 11 -4,4 6 -2
