,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,,1 1 +0,1 0 +1,,1 0 +1
Askia 2G,0 1 -1,1 3 -2,0 1 -1,1 0 +1,
silentzz 2G,0 1 -1,0 1 -1,,,
lz 2G,,2 0 +2,,,1 0 +1
PxS 2G,1 0 +1,0 1 -1,,,0 1 -1
