,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,,2 3 -1,2 0 +2,1 3 -2,1 1 +0
Askia 2G,2 1 +1,2 6 -4,0 3 -3,1 0 +1,0 3 -3
silentzz 2G,0 1 -1,0 1 -1,1 0 +1,0 1 -1,
lz 2G,1 0 +1,2 3 -1,1 2 -1,1 1 +0,2 0 +2
PxS 2G,1 1 +0,2 4 -2,,,0 1 -1
