,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,,,0 1 -1,,
Askia 2G,,1 0 +1,0 3 -3,,
silentzz 2G,,,0 1 -1,,
lz 2G,,,,,
PxS 2G,,,,1 0 +1,
