,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,1 2 -1,4 4 +0,2 2 +0,1 4 -3,2 4 -2
Askia 2G,2 0 +2,1 2 -1,1 4 -3,1 2 -1,1 5 -4
silentzz 2G,3 4 -1,2 2 +0,3 2 +1,4 6 -2,2 2 +0
lz 2G,3 4 -1,3 1 +2,1 3 -2,4 3 +1,2 6 -4
PxS 2G,3 6 -3,2 2 +0,4 2 +2,3 3 +0,3 1 +2
