,adverso KRÜ,keznit KRÜ,Shyy KRÜ,Mazino KRÜ,Melser KRÜ
gobera 2G,,0 1 -1,0 0,,
Askia 2G,,0 2 -2,,,
silentzz 2G,,0 1 -1,,,
lz 2G,,,,,
PxS 2G,,0 1 -1,,,
