,qRaxs FUT,yetujey FUT,xeus FUT,MrFaliN FUT,AtaKaptan FUT
MAGNUM BBL,1 0 +1,1 0 +1,,1 0 +1,
PROFEK BBL,,2 0 +2,0 1 -1,1 0 +1,
Jamppi BBL,,,,,
LewN BBL,1 0 +1,,2 1 +1,,1 0 +1
sociablEE BBL,1 0 +1,0 1 -1,0 1 -1,,
