,qRaxs FUT,yetujey FUT,xeus FUT,MrFaliN FUT,AtaKaptan FUT
MAGNUM BBL,4 3 +1,5 2 +3,6 6 +0,1 4 -3,2 2 +0
PROFEK BBL,4 1 +3,4 3 +1,5 5 +0,5 3 +2,5 2 +3
Jamppi BBL,1 6 -5,2 5 -3,3 5 -2,2 3 -1,2 0 +2
LewN BBL,6 2 +4,2 2 +0,2 1 +1,3 3 +0,3 4 -1
sociablEE BBL,4 2 +2,3 3 +0,3 2 +1,2 5 -3,2 2 +0
