,qRaxs FUT,yetujey FUT,xeus FUT,MrFaliN FUT,AtaKaptan FUT
MAGNUM BBL,2 0 +2,3 1 +2,1 1 +0,2 3 -1,0 2 -2
PROFEK BBL,1 1 +0,4 0 +4,3 2 +1,2 2 +0,4 3 +1
Jamppi BBL,2 0 +2,2 1 +1,4 1 +3,2 0 +2,2 1 +1
LewN BBL,4 1 +3,1 2 -1,3 1 +2,1 2 -1,3 1 +2
sociablEE BBL,4 1 +3,3 1 +2,2 2 +0,5 1 +4,4 1 +3
