,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
MAGNUM BBL,,3 Round 7 AtaKaptan xeus Round 10 yetujey qRaxs Round 20 yetujey xeus,,,,,,,,,44,0,1
PROFEK BBL,,5 Round 2 yetujey xeus Round 5 qRaxs xeus Round 9 MrFaliN xeus Round 15 yetujey MrFaliN Round 23 AtaKaptan qRaxs,2 Round 11 yetujey MrFaliN AtaKaptan Round 17 AtaKaptan qRaxs xeus,,,,,,,,64,1,1
sociablEE BBL,,2 Round 10 xeus AtaKaptan Round 16 yetujey qRaxs,1 Round 12 AtaKaptan yetujey qRaxs,,,,,,,,54,0,1
Jamppi BBL,,2 Round 1 xeus yetujey Round 16 AtaKaptan xeus,,,,,,,,,29,5,0
LewN BBL,,4 Round 4 qRaxs MrFaliN Round 9 yetujey AtaKaptan Round 15 qRaxs AtaKaptan Round 23 MrFaliN xeus,,,,,,,,,66,1,0
qRaxs FUT,,3 Round 3 Jamppi MAGNUM Round 14 PROFEK Jamppi Round 19 Jamppi MAGNUM,,,,,,,,,49,2,0
AtaKaptan FUT,,1 Round 5 LewN sociablEE,1 Round 13 LewN sociablEE MAGNUM,,,,,,,,43,1,0
MrFaliN FUT,,5 Round 3 sociablEE LewN Round 4 PROFEK sociablEE Round 6 LewN sociablEE Round 11 sociablEE MAGNUM Round 14 MAGNUM sociablEE,1 Round 7 Jamppi PROFEK MAGNUM,,,,,,,,57,4,1
yetujey FUT,,4 Round 5 PROFEK MAGNUM Round 18 Jamppi sociablEE Round 19 sociablEE LewN Round 22 PROFEK sociablEE,,,,,,,,,67,1,0
xeus FUT,,3 Round 6 MAGNUM PROFEK Round 13 Jamppi PROFEK Round 17 MAGNUM sociablEE,2 Round 8 PROFEK sociablEE MAGNUM Round 22 LewN Jamppi MAGNUM,,,,,,,,40,0,0
