,qRaxs FUT,yetujey FUT,xeus FUT,MrFaliN FUT,AtaKaptan FUT
MAGNUM BBL,6 3 +3,8 3 +5,7 7 +0,3 7 -4,2 4 -2
PROFEK BBL,5 2 +3,8 3 +5,8 7 +1,7 5 +2,9 5 +4
Jamppi BBL,3 6 -3,4 6 -2,7 6 +1,4 3 +1,4 1 +3
LewN BBL,10 3 +7,3 4 -1,5 2 +3,4 5 -1,6 5 +1
sociablEE BBL,8 3 +5,6 4 +2,5 4 +1,7 6 +1,6 3 +3
