,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,1 3 -2,3 1 +2,2 2 +0,3 4 -1,2 3 -1
kaajak FNC,4 3 +1,3 2 +1,4 2 +2,5 2 +3,6 2 +4
Chronicle FNC,7 0 +7,4 3 +1,4 3 +1,3 4 -1,3 2 +1
crashies FNC,3 0 +3,5 1 +4,4 3 +1,5 5 +0,4 3 +1
Boaster FNC,1 5 -4,2 0 +2,2 4 -2,0 1 -1,2 3 -1
