,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,,1 0 +1,0 1 -1,1 1 +0,0 2 -2
kaajak FNC,1 0 +1,1 1 +0,2 0 +2,1 0 +1,1 0 +1
Chronicle FNC,0 1 -1,,0 1 -1,2 1 +1,1 0 +1
crashies FNC,,,,,1 0 +1
Boaster FNC,,0 1 -1,0 1 -1,0 1 -1,
