,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,2 2 +0,2 2 +0,2 2 +0,1 1 +0,2 3 -1
kaajak FNC,4 1 +3,2 1 +1,3 1 +2,1 0 +1,2 2 +0
Chronicle FNC,2 2 +0,1 1 +0,1 1 +0,2 1 +1,3 1 +2
crashies FNC,,1 0 +1,,0 1 -1,2 0 +2
Boaster FNC,2 1 +1,0 1 -1,1 1 +0,1 2 -1,1 2 -1
