,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,3 4 -1,3 3 +0,4 4 +0,2 4 -2,1 7 -6
kaajak FNC,5 5 +0,2 8 -6,6 3 +3,6 3 +3,4 3 +1
Chronicle FNC,2 6 -4,4 3 +1,3 3 +0,5 4 +1,4 5 -1
crashies FNC,3 6 -3,4 3 +1,2 2 +0,2 5 -3,4 1 +3
Boaster FNC,2 0 +2,2 4 -2,1 4 -3,0 5 -5,3 2 +1
