,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,0 1 -1,1 0 +1,,,1 1 +0
kaajak FNC,,1 0 +1,,,1 1 +0
Chronicle FNC,2 0 +2,1 1 +0,1 0 +1,,1 1 +0
crashies FNC,,1 0 +1,,0 1 -1,1 0 +1
Boaster FNC,0 1 -1,,,,1 1 +0
