,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,8 13 -5,9 6 +3,9 9 +0,8 11 -3,5 12 -7
kaajak FNC,14 10 +4,9 13 -4,16 9 +7,11 9 +2,15 7 +8
Chronicle FNC,10 9 +1,11 8 +3,10 7 +3,11 16 -5,9 11 -2
crashies FNC,9 9 +0,12 7 +5,8 9 -1,16 15 +1,13 5 +8
Boaster FNC,6 8 -2,8 5 +3,6 10 -4,2 14 -12,9 9 +0
