,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,4 6 -2,3 2 +1,3 3 +0,3 3 +0,2 2 +0
kaajak FNC,5 2 +3,4 3 +1,6 4 +2,0 4 -4,5 2 +3
Chronicle FNC,1 3 -2,3 2 +1,3 1 +2,3 8 -5,2 4 -2
crashies FNC,3 3 +0,3 3 +0,2 4 -2,9 5 +4,5 1 +4
Boaster FNC,3 3 +0,4 1 +3,3 2 +1,2 8 -6,4 4 +0
