,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,,,1 0 +1,,
kaajak FNC,1 0 +1,1 0 +1,3 0 +3,1 0 +1,1 0 +1
Chronicle FNC,,,,0 1 -1,
crashies FNC,,,,0 1 -1,
Boaster FNC,,,,,
