,SUYGETSU KC,saadhak KC,Elite KC,Avez KC,marteen KC
Alfajer FNC,2 1 +1,0 2 -2,2 1 +1,,1 0 +1
kaajak FNC,3 1 +2,,1 1 +0,,0 1 -1
Chronicle FNC,0 1 -1,,,,1 0 +1
crashies FNC,,,,,
Boaster FNC,2 0 +2,,1 0 +1,1 1 +0,0 1 -1
