,nobody EDG,ZmjjKK EDG,Smoggy EDG,S1Mon EDG,CHICHOO EDG
Kai TE,,0 1 -1,,,
LuoK1ng TE,,0 1 -1,,,
heybay TE,,0 1 -1,,,
FengF TE,,0 3 -3,,,1 0 +1
Biank TE,,0 2 -2,,,
