,nobody EDG,ZmjjKK EDG,Smoggy EDG,S1Mon EDG,CHICHOO EDG
Kai TE,3 4 -1,2 3 -1,3 5 -2,3 0 +3,2 2 +0
LuoK1ng TE,2 6 -4,4 4 +0,3 2 +1,0 1 -1,3 1 +2
heybay TE,3 4 -1,2 6 -4,0 4 -4,3 0 +3,0 3 -3
FengF TE,1 2 -1,3 4 -1,3 4 -1,2 1 +1,4 2 +2
Biank TE,2 7 -5,3 2 +1,1 2 -1,2 1 +1,0 2 -2
