,nobody EDG,ZmjjKK EDG,Smoggy EDG,S1Mon EDG,CHICHOO EDG
Kai TE,6 3 +3,6 5 +1,2 0 +2,2 4 -2,3 3 +0
LuoK1ng TE,4 4 +0,0 4 -4,4 1 +3,3 0 +3,4 5 -1
heybay TE,3 3 +0,5 6 -1,3 3 +0,3 1 +2,4 5 -1
FengF TE,1 2 -1,4 6 -2,2 2 +0,2 3 -1,3 5 -2
Biank TE,3 2 +1,2 7 -5,2 2 +0,3 3 +0,4 3 +1
