,nobody EDG,ZmjjKK EDG,Smoggy EDG,S1Mon EDG,CHICHOO EDG
Kai TE,0 1 -1,,0 1 -1,,2 0 +2
LuoK1ng TE,1 1 +0,1 1 +0,,,
heybay TE,,1 3 -2,,1 0 +1,0 1 -1
FengF TE,,0 2 -2,0 1 -1,,
Biank TE,1 1 +0,1 0 +1,,,
