,nobody EDG,ZmjjKK EDG,Smoggy EDG,S1Mon EDG,CHICHOO EDG
Kai TE,1 1 +0,1 1 +0,1 0 +1,1 0 +1,0 1 -1
LuoK1ng TE,,,,,
heybay TE,,2 2 +0,,,0 1 -1
FengF TE,,2 3 -1,,,0 2 -2
Biank TE,,0 1 -1,,0 1 -1,2 0 +2
