,nobody EDG,ZmjjKK EDG,Smoggy EDG,S1Mon EDG,CHICHOO EDG
Kai TE,1 2 -1,1 1 +0,1 1 +0,1 0 +1,2 1 +1
LuoK1ng TE,1 1 +0,1 1 +0,,,
heybay TE,,3 5 -2,,1 0 +1,0 2 -2
FengF TE,,2 5 -3,0 1 -1,,0 2 -2
Biank TE,1 1 +0,1 1 +0,,0 1 -1,2 0 +2
