,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,2 0 +2,,,,1 0 +1
N4RRATE SEN,,,,1 0 +1,
johnqt SEN,,1 0 +1,,1 0 +1,1 1 +0
Zellsis SEN,0 1 -1,,,1 0 +1,
zekken SEN,0 1 -1,2 3 -1,1 0 +1,,1 0 +1
