,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,4 3 +1,0 6 -6,4 2 +2,1 2 -1,2 0 +2
N4RRATE SEN,6 0 +6,3 2 +1,2 5 -3,3 2 +1,1 1 +0
johnqt SEN,1 2 -1,3 0 +3,2 5 -3,3 1 +2,2 4 -2
Zellsis SEN,1 2 -1,4 1 +3,3 5 -2,1 3 -2,3 1 +2
zekken SEN,0 3 -3,5 2 +3,5 2 +3,6 3 +3,7 4 +3
