,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,1 4 -3,3 4 -1,2 3 -1,1 0 +1,6 2 +4
N4RRATE SEN,3 1 +2,6 1 +5,5 3 +2,4 2 +2,1 2 -1
johnqt SEN,4 2 +2,1 2 -1,1 1 +0,3 3 +0,1 2 -1
Zellsis SEN,3 4 -1,5 3 +2,6 2 +4,7 1 +6,3 2 +1
zekken SEN,2 3 -1,1 5 -4,0 2 -2,2 2 +0,5 2 +3
