,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,5 2 +3,2 1 +1,0 3 -3,3 2 +1,3 0 +3
N4RRATE SEN,2 4 -2,1 3 -2,5 3 +2,4 3 +1,2 0 +2
johnqt SEN,3 3 +0,2 0 +2,2 1 +1,1 3 -2,3 1 +2
Zellsis SEN,3 4 -1,6 2 +4,2 4 -2,4 3 +1,3 0 +3
zekken SEN,2 2 +0,5 5 +0,3 1 +2,3 1 +2,4 2 +2
