,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,2 1 +1,2 4 -2,0 2 -2,1 0 +1,4 1 +3
N4RRATE SEN,0 1 -1,2 0 +2,0 1 -1,1 2 -1,0 2 -2
johnqt SEN,1 0 +1,3 3 +0,0 1 -1,1 0 +1,3 3 +0
Zellsis SEN,1 2 -1,3 1 +2,1 1 +0,2 0 +2,3 0 +3
zekken SEN,0 4 -4,5 11 -6,2 0 +2,1 0 +1,14 6 +8
