,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,6 8 -2,3 6 -3,5 5 +0,4 3 +1,6 8 -2
N4RRATE SEN,4 6 -2,3 5 -2,3 4 -1,6 7 -1,3 7 -4
johnqt SEN,2 6 -4,5 7 -2,9 7 +2,8 3 +5,3 5 -2
Zellsis SEN,5 6 -1,6 8 -2,8 5 +3,4 9 -5,8 4 +4
zekken SEN,6 7 -1,5 11 -6,6 2 +4,5 7 -2,10 4 +6
