,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,0 3 -3,0 3 -3,,,
N4RRATE SEN,,0 2 -2,,,
johnqt SEN,0 2 -2,0 2 -2,,,
Zellsis SEN,0 1 -1,0 5 -5,,,
zekken SEN,0 1 -1,1 5 -4,,,
