,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,16 17 -1,8 17 -9,11 13 -2,9 7 +2,17 10 +7
N4RRATE SEN,15 11 +4,13 11 +2,15 15 +0,17 14 +3,7 10 -3
johnqt SEN,10 13 -3,11 9 +2,14 14 +0,15 10 +5,9 12 -3
Zellsis SEN,12 16 -4,21 14 +7,19 16 +3,16 16 +0,17 7 +10
zekken SEN,10 15 -5,16 23 -7,14 7 +7,16 13 +3,26 12 +14
