,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,,0 1 -1,0 2 -2,,
N4RRATE SEN,,1 0 +1,,0 1 -1,
johnqt SEN,,1 0 +1,0 1 -1,,1 0 +1
Zellsis SEN,,1 0 +1,0 1 -1,,
zekken SEN,,2 1 +1,1 0 +1,,3 3 +0
