,xenom MIBR,aspas MIBR,nzr MIBR,cortezia MIBR,artzin MIBR
bang SEN,0 1 -1,0 1 -1,,,2 1 +1
N4RRATE SEN,0 1 -1,,0 1 -1,0 1 -1,0 1 -1
johnqt SEN,,1 3 -2,,,1 2 -1
Zellsis SEN,1 0 +1,0 1 -1,1 0 +1,1 0 +1,2 0 +2
zekken SEN,0 2 -2,1 4 -3,,1 0 +1,7 3 +4
