,kellyS TS,ZesBeeW TS,Wild0reoo TS,invy TS,n1zzy TS
free1ng DRX,4 0 +4,3 2 +1,1 1 +0,2 3 -1,4 0 +4
Flashback DRX,3 0 +3,3 3 +0,2 2 +0,0 2 -2,4 0 +4
MaKo DRX,3 2 +1,4 0 +4,7 1 +6,3 0 +3,1 4 -3
Estrella DRX,2 1 +1,3 1 +2,1 1 +0,3 0 +3,2 5 -3
HYUNMIN DRX,4 3 +1,3 1 +2,5 1 +4,7 4 +3,3 2 +1
