,kellyS TS,ZesBeeW TS,Wild0reoo TS,invy TS,n1zzy TS
free1ng DRX,6 3 +3,8 2 +6,6 3 +3,5 4 +1,6 1 +5
Flashback DRX,5 1 +4,5 5 +0,4 2 +2,2 5 -3,11 0 +11
MaKo DRX,6 4 +2,7 2 +5,10 4 +6,6 2 +4,3 4 -1
Estrella DRX,5 3 +2,5 1 +4,3 3 +0,6 4 +2,2 5 -3
HYUNMIN DRX,8 3 +5,3 3 +0,8 2 +6,10 10 +0,6 3 +3
