,kellyS TS,ZesBeeW TS,Wild0reoo TS,invy TS,n1zzy TS
free1ng DRX,2 3 -1,5 0 +5,5 2 +3,3 1 +2,2 1 +1
Flashback DRX,2 1 +1,2 2 +0,2 0 +2,2 3 -1,7 0 +7
MaKo DRX,3 2 +1,3 2 +1,3 3 +0,3 2 +1,2 0 +2
Estrella DRX,3 2 +1,2 0 +2,2 2 +0,3 4 -1,
HYUNMIN DRX,4 0 +4,0 2 -2,3 1 +2,3 6 -3,3 1 +2
