,kellyS TS,ZesBeeW TS,Wild0reoo TS,invy TS,n1zzy TS
free1ng DRX,,,4 1 +3,,
Flashback DRX,,,1 0 +1,,
MaKo DRX,1 0 +1,2 0 +2,1 1 +0,,
Estrella DRX,0 1 -1,,1 0 +1,1 0 +1,
HYUNMIN DRX,,,2 0 +2,0 1 -1,
