,kellyS TS,ZesBeeW TS,Wild0reoo TS,invy TS,n1zzy TS
free1ng DRX,,,,1 0 +1,
Flashback DRX,,0 1 -1,0 1 -1,0 1 -1,
MaKo DRX,0 1 -1,3 0 +3,1 0 +1,,1 1 +0
Estrella DRX,,1 0 +1,,,0 2 -2
HYUNMIN DRX,,,1 0 +1,0 1 -1,1 0 +1
