,kellyS TS,ZesBeeW TS,Wild0reoo TS,invy TS,n1zzy TS
free1ng DRX,,,4 1 +3,1 0 +1,
Flashback DRX,,0 1 -1,1 1 +0,0 1 -1,
MaKo DRX,1 1 +0,5 0 +5,2 1 +1,,1 1 +0
Estrella DRX,0 1 -1,1 0 +1,1 0 +1,1 0 +1,0 2 -2
HYUNMIN DRX,,,3 0 +3,0 2 -2,1 0 +1
