,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T,bang 100T
johnqt SEN,3 6 -3,2 2 +0,5 2 +3,2 5 -3,0 3 -3
zekken SEN,4 3 +1,6 3 +3,6 1 +5,7 7 +0,5 5 +0
Zellsis SEN,4 1 +3,1 4 -3,3 0 +3,2 4 -2,2 6 -4
Sacy SEN,8 3 +5,3 0 +3,2 1 +1,1 4 -3,1 7 -6
TenZ SEN,2 1 +1,1 2 -1,4 1 +3,4 3 +1,4 10 -6
