,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T,bang 100T
johnqt SEN,4 6 -2,1 2 -1,6 4 +2,2 3 -1,3 1 +2
zekken SEN,1 3 -2,2 3 -1,3 3 +0,3 5 -2,2 4 -2
Zellsis SEN,1 5 -4,2 4 -2,4 1 +3,1 1 +0,2 2 +0
Sacy SEN,1 4 -3,2 1 +1,1 6 -5,3 1 +2,2 2 +0
TenZ SEN,4 4 +0,3 3 +0,2 2 +0,6 3 +3,1 3 -2
