,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T,bang 100T
johnqt SEN,7 12 -5,3 4 -1,11 6 +5,4 8 -4,3 4 -1
zekken SEN,5 6 -1,8 6 +2,9 4 +5,10 12 -2,7 9 -2
Zellsis SEN,5 6 -1,3 8 -5,7 1 +6,3 5 -2,4 8 -4
Sacy SEN,9 7 +2,5 1 +4,3 7 -4,4 5 -1,3 9 -6
TenZ SEN,6 5 +1,4 5 -1,6 3 +3,10 6 +4,5 13 -8
