,Asuna 100T,eeiu 100T,Boostio 100T,Cryocells 100T,bang 100T
johnqt SEN,0 1 -1,,1 0 +1,0 2 -2,
zekken SEN,2 1 +1,0 1 -1,5 1 +4,2 4 -2,1 3 -2
Zellsis SEN,,0 2 -2,,,
Sacy SEN,0 3 -3,,0 2 -2,1 0 +1,0 1 -1
TenZ SEN,2 2 +0,1 0 +1,1 1 +0,0 1 -1,0 2 -2
