,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,3 2 +1,,1 4 -3,3 2 +1,4 3 +1
ZmjjKK EDG,2 2 +0,5 2 +3,4 3 +1,3 3 +0,2 3 -1
CHICHOO EDG,4 0 +4,3 2 +1,1 2 -1,3 0 +3,3 5 -2
nobody EDG,3 1 +2,3 3 +0,1 2 -1,1 0 +1,2 1 +1
Smoggy EDG,2 0 +2,1 4 -3,7 6 +1,4 2 +2,5 0 +5
