,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,6 10 -4,5 11 -6,6 8 -2,10 10 +0,6 12 -6
ZmjjKK EDG,9 9 +0,13 12 +1,16 19 -3,10 10 +0,13 6 +7
CHICHOO EDG,13 3 +10,12 10 +2,10 5 +5,11 6 +5,13 16 -3
nobody EDG,8 4 +4,11 11 +0,7 6 +1,11 8 +3,7 13 -6
Smoggy EDG,13 9 +4,8 9 -1,13 12 +1,10 8 +2,14 10 +4
