,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
nobody EDG,,5 Round 9 tex Mazino Round 14 C0M aspas Round 18 tex C0M Round 23 Mazino kiNgg Round 28 aspas C0M,1 Round 3 C0M tex aspas,,,,,,,,47,2,2
ZmjjKK EDG,,3 Round 8 tex C0M Round 14 kiNgg Mazino Round 28 kiNgg tex,4 Round 12 kiNgg aspas tex Round 17 C0M aspas Mazino Round 18 Mazino aspas kiNgg Round 24 kiNgg C0M Mazino,,,,,,,,54,0,0
Smoggy EDG,,3 Round 13 tex kiNgg Round 26 aspas Mazino Round 27 kiNgg aspas,,1 Round 15 Mazino kiNgg aspas C0M,,,,,,,39,1,1
S1Mon EDG,,1 Round 26 tex C0M,,,,,,,,,20,7,0
CHICHOO EDG,,3 Round 3 Mazino kiNgg Round 6 C0M tex Round 23 aspas tex,3 Round 13 C0M Mazino aspas Round 16 tex C0M kiNgg Round 21 kiNgg C0M Mazino,,,1 Round 16 kiNgg,,,,,45,0,1
C0M LEV,,2 Round 15 nobody S1Mon Round 29 S1Mon CHICHOO,,,,,,,,,42,1,1
tex LEV,,4 Round 5 ZmjjKK nobody Round 6 ZmjjKK nobody Round 13 S1Mon ZmjjKK Round 20 nobody Smoggy,1 Round 27 ZmjjKK S1Mon Smoggy,,,,,,,,39,0,0
Mazino LEV,,4 Round 1 CHICHOO Smoggy Round 5 Smoggy CHICHOO Round 10 nobody S1Mon Round 19 CHICHOO S1Mon,2 Round 2 nobody S1Mon CHICHOO Round 8 nobody S1Mon Smoggy,,,1 Round 21 CHICHOO,,,,,46,4,3
aspas LEV,,4 Round 7 CHICHOO S1Mon Round 10 CHICHOO ZmjjKK Round 11 ZmjjKK S1Mon Round 19 Smoggy nobody,,1 Round 9 CHICHOO S1Mon ZmjjKK nobody,,,,,,,54,0,2
kiNgg LEV,,2 Round 21 nobody ZmjjKK Round 30 Smoggy CHICHOO,2 Round 6 S1Mon Smoggy CHICHOO Round 16 ZmjjKK nobody Smoggy,,,,,,,,49,3,1
