,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,1 0 +1,,,,
ZmjjKK EDG,1 0 +1,2 2 +0,1 0 +1,2 0 +2,
CHICHOO EDG,1 0 +1,1 0 +1,,,0 1 -1
nobody EDG,0 1 -1,0 1 -1,,,
Smoggy EDG,,0 1 -1,,1 0 +1,1 0 +1
