,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,,0 1 -1,,,
ZmjjKK EDG,,2 2 +0,2 0 +2,2 0 +2,1 0 +1
CHICHOO EDG,,0 2 -2,,,
nobody EDG,,,,,
Smoggy EDG,,,,,
