,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,1 0 +1,2 2 +0,1 0 +1,,1 0 +1
ZmjjKK EDG,1 2 -1,5 4 +1,8 3 +5,3 1 +2,3 0 +3
CHICHOO EDG,1 0 +1,2 1 +1,,1 0 +1,2 1 +1
nobody EDG,1 1 +0,0 3 -3,3 0 +3,1 3 -2,1 2 -1
Smoggy EDG,1 0 +1,1 3 -2,1 2 -1,1 0 +1,1 1 +0
