,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,1 4 -3,1 6 -5,3 3 +0,3 4 -1,1 6 -5
ZmjjKK EDG,6 4 +2,6 6 +0,5 8 -3,5 4 +1,6 0 +6
CHICHOO EDG,5 2 +3,4 5 -1,6 1 +5,4 4 +0,5 5 +0
nobody EDG,1 2 -1,5 5 +0,4 3 +1,6 3 +3,4 7 -3
Smoggy EDG,5 7 -2,4 3 +1,2 5 -3,2 1 +1,4 5 -1
