,kiNgg LEV,aspas LEV,tex LEV,C0M LEV,Mazino LEV
S1Mon EDG,2 4 -2,4 5 -1,2 1 +1,4 4 +0,1 3 -2
ZmjjKK EDG,1 3 -2,2 4 -2,7 8 -1,2 3 -1,5 3 +2
CHICHOO EDG,4 1 +3,5 3 +2,3 2 +1,4 2 +2,5 6 -1
nobody EDG,4 1 +3,3 3 +0,2 1 +1,4 5 -1,1 5 -4
Smoggy EDG,6 2 +4,3 2 +1,4 1 +3,4 5 -1,5 5 +0
