,kaajak FNC,Boaster FNC,Alfajer FNC,crashies FNC,Chronicle FNC
Governor APK,0 1 -1,0 1 -1,,,
AvovA APK,1 2 -1,1 0 +1,0 1 -1,,
MOLSI APK,,,,0 1 -1,0 1 -1
batujnax APK,0 1 -1,1 0 +1,1 0 +1,,
florescent APK,2 0 +2,,0 1 -1,2 0 +2,0 1 -1
