,kaajak FNC,Boaster FNC,Alfajer FNC,crashies FNC,Chronicle FNC
Governor APK,1 4 -3,1 0 +1,0 1 -1,1 0 +1,0 1 -1
AvovA APK,,,,,
MOLSI APK,,1 0 +1,1 1 +0,,
batujnax APK,3 1 +2,1 1 +0,1 0 +1,1 0 +1,1 1 +0
florescent APK,2 2 +0,0 1 -1,0 1 -1,,0 2 -2
