,kaajak FNC,Boaster FNC,Alfajer FNC,crashies FNC,Chronicle FNC
Governor APK,3 6 -3,3 0 +3,1 7 -6,4 3 +1,2 5 -3
AvovA APK,4 7 -3,7 1 +6,3 6 -3,1 1 +0,1 7 -6
MOLSI APK,2 3 -1,4 5 -1,3 4 -1,4 2 +2,5 4 +1
batujnax APK,6 6 +0,4 4 +0,5 4 +1,6 2 +4,6 5 +1
florescent APK,4 5 -1,3 4 -1,9 4 +5,4 3 +1,5 4 +1
